"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55239452299587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85136866897565,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18368565670658,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83720535164235,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69022638202192,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20203900024967,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79387443826547,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26789850270441,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.59021263796185,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46046080315691,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43462749127118,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.70776832553803,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550895919792,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296978951795,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8539358951315,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0620581883205,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9703339692587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7790179940529,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1089439108463,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5877338167283,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9337771869399,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5289717837039,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.888856888724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.511734955105,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.389696420099,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6961919765721,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9038179986991,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.9419481093341,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9213161869446,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0193277057705,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.5958677708319,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3687292014822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3726470145656,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3758635705696,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6468976369558,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.664709342083,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5793697475723,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.9602662033699,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6026619787002,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212174665526,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8768839401095,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1348600623918,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.88040713486,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064787705132,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.7204932589649,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.500097863187,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.308083789288,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.663926413804,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1970",56.5224062665581,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1971",57.9931045826298,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1972",59.0066505228991,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1973",61.1051470335876,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1974",62.0117017822265,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1975",57.6580887474087,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1976",57.3458870139455,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1977",56.2023323376125,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1978",53.565116305785,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1979",54.1445537437719,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1980",55.0550504576716,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1981",56.7688454547787,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1982",53.1348499999738,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1983",52.0026942810017,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1984",53.209659458625,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1985",54.9266627787145,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1986",54.8614592117456,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1987",54.5665985585752,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1988",61.2175614867967,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1989",68.9558279074761,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1990",65.818327511317,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1991",66.773196494774,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1992",65.8212891087327,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1993",66.0544519779193,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1994",65.4136162850599,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1995",63.3151798720646,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.6691141530949,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1997",60.8896020647463,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1998",64.3912787388135,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1999",65.9838075010166,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",68.0099563967856,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",69.7922459864486,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.2669175439227,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",91.6866387257862,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",90.9785921346121,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2005",88.1184085172713,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2006",89.8325580494768,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2007",91.4114614649594,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2008",88.4106294884549,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.4004208595712,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2010",93.6735486968762,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2011",86.4159162256683,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2012",84.8596192636028,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2013",87.8448055083395,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2014",92.6181334294936,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.264239422262,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2017",112.864078397927,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2018",109.231565528144,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1973",40.920475193209,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1974",45.0637409409797,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1975",42.9202336682973,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1976",41.7046835569139,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1977",40.6312970829182,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1978",39.4636301833731,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1979",41.1630957008233,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1980",43.5730635063394,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1981",46.4069043244465,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1982",43.0481812807552,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1983",41.7516476998381,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1984",43.3764047139387,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1985",44.0626211221363,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1986",42.7379230306771,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1987",40.972726264441,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1988",44.9667727067387,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1989",51.3446797480642,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1990",49.1969552983019,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1991",48.8621421544877,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1992",49.1470759386979,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1993",50.1929617151614,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1994",51.6292004291027,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1995",51.3758227030782,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1996",50.2542098731529,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1997",50.7807938189732,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1998",52.9011649992124,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1999",55.2590114729102,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2000",58.0626220733008,
