dateq,equally weighted
2000q1,99.24911
2000q2,100.0229
2000q3,100.3582
2000q4,100.3698
2001q1,100.2292
2001q2,100.1041
2001q3,100.6635
2001q4,102.0348
2002q1,104.0862
2002q2,105.9586
2002q3,108.4099
2002q4,109.0607
2003q1,110.1362
2003q2,111.6219
2003q3,114.3803
2003q4,116.6802
2004q1,119.3258
2004q2,121.5263
2004q3,123.2076
2004q4,125.5326
2005q1,128.9542
2005q2,131.1819
2005q3,133.4355
2005q4,136.48
2006q1,139.7046
2006q2,142.1661
2006q3,145.4513
2006q4,149.877
2007q1,153.9995
2007q2,156.9613
2007q3,158.8122
2007q4,159.1266
2008q1,159.0653
2008q2,157.9157
2008q3,155.924
2008q4,152.1712
2009q1,147.583
2009q2,145.5342
2009q3,145.833
2009q4,146.2675
2010q1,146.4958
2010q2,146.8503
2010q3,146.6051
2010q4,146.4181
2011q1,145.4349
2011q2,145.1301
2011q3,144.5054
2011q4,143.5706
2012q1,143.4177
2012q2,143.6463
2012q3,143.553
2012q4,144.1722
2013q1,144.612
2013q2,145.4074
2013q3,146.0062
2013q4,147.0396
2014q1,148.4891
2014q2,149.2067
2014q3,149.744
2014q4,150.3328
2015q1,151.8888
2015q2,151.7671
2015q3,152.7236
2015q4,153.4297
2016q1,154.6492
2016q2,155.6382
2016q3,156.9221
2016q4,158.1773
2017q1,157.8543
2017q2,159.33
2017q3,160.0096
2017q4,160.6147
2018q1,161.697
2018q2,162.6863
2018q3,160.1274
