Australia;33.6;37.4;44.4;52.4;55.6;56.7;60.6;67.0;69.6;72.4;80.9;79.1;78.9;84.1;91.7;100.0;105.5;114.3
Austria;58.6;59.1;59.4;59.6;58.4;61.4;63.9;66.9;67.6;70.2;76.8;81.6;87.6;92.1;95.3;100.0;108.5;114.3
Belgium;50.1;52.5;55.9;59.8;65.0;72.5;79.6;85.8;89.6;89.2;92.0;95.7;97.8;99.0;98.4;100.0;102.6;106.4
Brazil;;;;;;;;;34.5;40.9;50.9;65.6;77.5;87.1;96.2;100.0;100.3;100.5
Canada;40.1;42.0;45.3;49.1;53.2;57.4;64.1;71.5;75.4;73.3;79.9;83.8;87.9;90.1;94.9;100.0;109.9;123.3
Chile;;;51.7;53.0;55.7;57.7;59.0;62.0;62.5;63.9;68.1;73.8;78.5;84.5;90.8;100.0;102.3;108.7
China (People's Republic of);;;;;;;;;;;85.1;90.8;90.0;96.5;101.1;100.0;112.2;127.0
Colombia;27.7;29.0;29.2;30.0;32.8;35.6;40.2;47.2;55.0;60.4;64.9;70.2;77.4;85.0;91.7;100.0;111.9;119.8
Czech Republic;;;;;;;;;100.8;96.9;95.2;95.3;93.8;93.9;96.2;100.0;107.2;119.7
Denmark;56.7;60.1;62.2;64.2;69.9;82.9;102.9;105.6;100.2;88.2;90.7;89.1;86.7;90.1;93.5;100.0;105.2;110.0
Estonia;;;;;;59.0;88.2;106.5;96.3;60.5;63.9;69.3;74.4;82.3;93.6;100.0;104.7;110.5
Euro area;67.5;70.8;75.4;79.8;85.1;91.2;97.2;101.7;103.7;99.9;100.7;101.8;100.1;98.0;98.4;100.0;103.4;107.3
Euro area (17 countries);66.2;70.0;74.4;80.1;85.9;92.8;99.3;103.8;104.8;100.7;101.6;102.8;100.5;98.4;98.6;100.0;103.6;107.6
Finland;58.8;57.9;61.4;65.3;70.7;76.3;81.6;86.4;87.1;88.3;93.9;96.9;99.2;100.4;100.0;100.0;100.4;102.0
France;49.1;53.0;57.5;64.4;74.1;85.5;95.8;102.1;103.0;95.7;100.6;106.5;106.0;103.8;101.9;100.0;100.9;104.0
Germany;84.4;84.4;83.3;83.6;82.3;83.3;83.0;81.2;82.3;83.0;83.9;86.8;89.8;92.6;95.5;100.0;106.0;110.8
Greece;88.9;101.6;115.7;122.0;124.8;138.4;156.4;166.0;168.5;161.2;154.2;145.7;128.5;114.5;105.4;100.0;97.6;96.6
Hungary;;;;;;;;98.9;101.3;96.0;93.7;90.4;87.1;84.9;88.4;100.0;113.4;120.1
Iceland;;;;;;60.6;70.8;77.4;82.3;74.3;72.0;75.4;80.6;85.2;92.4;100.0;109.8;131.2
