country,country code,"price-to-rent ratio, index, 2010 = 100",latest quarter
LVA,Latvia,127.0433983,2018Q2
CAN,Canada,125.1177288,2018Q2
ISL,Iceland,124.3412391,2018Q2
PRT,Portugal,122.6673629,2018Q2
CZE,Czech Republic,120.6987606,2018Q2
NZL,New Zealand,119.6437056,2018Q1
SVK,Slovak Republic,119.4570228,2018Q2
IRL,Ireland,119.2843981,2018Q2
MEX,Mexico,117.0907702,2018Q2
HUN,Hungary,116.2767971,2018Q2
NLD,Netherlands,115.851111,2018Q2
ESP,Spain,115.7716267,2018Q2
LUX,Luxembourg,114.0729219,2018Q2
GBR,United Kingdom,111.7773837,2018Q2
AUS,Australia,111.5282913,2018Q2
SWE,Sweden,111.3653208,2018Q2
SVN,Slovenia,110.5673097,2018Q2
COL,Colombia,110.3688783,2018Q1
DNK,Denmark,110.271085,2018Q2
DEU,Germany,110.0822672,2018Q2
NOR,Norway,108.2240162,2018Q2
JPN,Japan,107.7276215,2018Q2
USA,United States,107.5216781,2018Q2
ISR,Israel,106.6346025,2018Q2
AUT,Austria,106.2599641,2018Q2
BEL,Belgium,106.2241717,2018Q2
FRA,France,105.9386791,2018Q2
GRC,Greece,105.9303621,2018Q2
LTU,Lithuania,104.7046878,2018Q2
TUR,Turkey,104.6196715,2018Q2
CHE,Switzerland,104.0285701,2018Q2
POL,Poland,103.8509307,2018Q2
CHL,Chile,100.7166201,2017Q4
KOR,Korea,99.9396355,2018Q2
ZAF,South Africa,98.6524767,2017Q4
ITA,Italy,98.44100537,2018Q2
FIN,Finland,96.90368354,2018Q2
EST,Estonia,95.61063996,2018Q2
RUS,Russia,87.59019706,2018Q2
